clave1 *,clave2,descripción *,departamento,categoria,(s/n) inventariable,unidad,costo,precio1,(s/n) precio con impuestos,(s/n) imp IVA (8%),(s/n) imp IVA (16%),(s/n) granel,existencia,,
4-3153,7501553431530,CAPACILLO STD LOVE CORAZONES 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-2315,7501553423153,CAPACILLO STD I LOVE YOU C/CORAZON 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-2733,7501553427335,CAPACILLO STD CORAZONES BORDADOS 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-3114,7501553431141,CAPACILLO STD PALETA DE CORAZON 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-3171,7501553431714,CAPACILLO STD CORAZON CONCENTRICO 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-3369,7501553431691,CAPACILLO STD CORAZONES HUELLA 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-3116/50A R,7501553803795,CAPACILLO STD CORAZON MORADO/ROS 50pz ,Capacillos,Papel,SI,Pieza,,, $40.00 ,,,,,,52151907
415-1391,070896513915,CAPACILLO RUFFLED ROJO 24pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
415-1864,70896318640,CAPACILLO STD BEIGE 75pz,Capacillos,Papel,SI,Pieza,,, $35.00 ,,,,,,52151907
HGCAP72BCO,HGCAP72BCO,CAPACILLO CORRUFACIL BLANCO NUM 72 500pz,Capacillos,Papel,SI,Pieza,,, $110.00 ,,,,,,50181709
P0008,P0008,MOLDE PANETONE 15X14CM 25pz,Capacillos,Papel,SI,Paquete,,, $340.00 ,,,,,,50181709
P0009,P0009,MOLDE PANETONE 15X14CM,Capacillos,Papel,SI,Pieza,,, $15.00 ,,,,,,50181709
415-5387,070896453877,CAPACILLO STD TONOS NAVIDEÑOS 150pz,Capacillos,Papel,SI,Pieza,,, $250.00 ,,,,,,52151900
191006485,070896320865,JGO CAPACILLO MINI NAVIDAD 150PZ,Capacillos,Papel,SI,Pieza,,, $150.00 ,,,,,,52151900
415-0-0376,70896093677,JGO CAPACILLOS STD SOLDADO CARAMELO 75pz,Capacillos,Papel,SI,Pieza,,, $70.00 ,,,,,,52151900
4-2316,7501553423160,CAPACILLO STD BIGOTE-PIPA 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-3151,7501553431516,CAPACILLO STD CORBATA BIGOTE 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-2730,7501553427304,CAPACILLO STD ONDULADO CORAZON 100 PZ,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3115,7501553431158,CAPACILLO STD CORAZON ROJO/ROSA/MORADO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
BCP000340,4895217155126,CAPACILLO MED ROJO 50pz,Capacillos,Papel,SI,Pieza,,, $62.00 ,,,,,,52151907
3190,7501553431905,CAPACILLO STD COPOS MERRY CHRISTMAS100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
3158,7501553431585,CAPACILLO STD NOCHE BUENA MUERDAGO 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
BCP000365,4895217156734,CAPACILLO STD ESTRELLAS MERRY XMAS 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
3182,3182,CAPACILLO STD MUERDAGOS HOJAS 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
BCP000371,4895217156796,CAPACILLO STD COPOS OCRE 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
BCP000373,4895217156819,CAPACILLO STD COPOS GRISES 100pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-3187,7501553431875,CAPACILLO STD MUERDAGOS HOJAS 100pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151907
4-3158,4-3158,CAPACILLO STD NOCHE BUENA MUERDAGO 100pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151907
4-3191,7501553431912,CAPACILLO STD PINOS FDO VERDE 100pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151907
70896164480,70896164480,CAPACILLO CLASICO METALIZADO 40PZ,Capacillos,Papel,SI,Pieza,,, $35.00 ,,,,,,52151900
070896138897,070896138897,CAPACILLO STD TELARAÑA DORADA CON 24pz,Capacillos,Papel,SI,Pieza,,, $125.00 ,,,,,,52151900
070896372864,070896372864,CAPACILLO STD FANTASMA CON 75pz,Capacillos,Papel,SI,Pieza,,, $70.00 ,,,,,,52151900
7504310265324,7504310265324,CAPACILLO WALLOWEEN MICKEY,Capacillos,Papel,SI,Pieza,,, $50.00 ,,,,,,50181709
7504310460118,7504310460118,CAPACILLO DIA DE MUERTOS,Capacillos,Papel,SI,Pieza,,, $50.00 ,,,,,,50181709
070896044815,070896044815,CAPACILLO STD NIÑO JENGIBRE 75pz,Capacillos,Papel,SI,Pieza,,, $70.00 ,,,,,,52151900
HGCAP00298,HGCAP00298,CAPACILLO MED PLATA  40pz,Capacillos,Papel,SI,Pieza,,, $55.00 ,,,,,,52151907
HGCAP00298,HGCAP00298,CAPACILLO MED PLATA  40pz,Capacillos,Papel,SI,Pieza,,, $55.00 ,,,,,,52151907
4-2277,7501553422774,CAPACILLO STD ROSA METÁLICO 50pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
4-2709,7501553427090,CAPACILLO STD POLKA NEGRO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151900
4-2712,7501553427120,CAPACILLO STD POLKA ROSA BABY 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3103,7501553431035,CAPACILLO STD MORADO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3106,7501553431066,CAPACILLO STD VERDE 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2742,7501553427427,CAPACILLO STD NEGRO METAL 50pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151900
4-0750,7501553407504,CAPACILLO NO.5 CAFE/PLATA FLORES 250pz,Capacillos,Papel,SI,Pieza,,, $130.00 ,,,,,,52151907
PPR001536,4895217153344,CAPACILLO PETALO CAFE 100pz,Capacillos,Papel,SI,Pieza,,, $120.00 ,,,,,,52151900
070896318657,070896318657,CAPACILLO MINI COLOR CRUDO PAPEL C/100pz,Capacillos,Papel,SI,Pieza,,, $85.00 ,,,,,,52151900
415-296,70896452962,CAPACILLO STD FUTBOL SOCCER PAPEL C/75pz,Capacillos,Papel,SI,Pieza,,, $78.00 ,,,,,,52151900
12006,E L02024,CAPACILLO ROJO CHINO PAQ/1000pz,Capacillos,Papel,SI,Paquete,,, $225.00 ,,,,,,50181709
HGL02024,HGL02025,CAPACILLO ROJO SV 25pz,Capacillos,Papel,SI,Pieza,,, $30.00 ,,,,,,50181709
HGCAP72ROJO,HGCAP72ROJO,CAPACILLO CORRUFACIL ROJO NUM 72 500pz,Capacillos,Papel,SI,Pieza,,, $110.00 ,,,,,,50181709
4-2778,7501553427786,CAPACILLO STD NEGRO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3102,7501553431028,CAPACILLO STD ROSA 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3104,7501553431042,CAPACILLO STD AZUL REY 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3105,7501553431059,CAPACILLO STD AZUL 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3108,7501553431080,CAPACILLO STD ROSA PASTEL 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3109,7501553431097,CAPACILLO STD LILA 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3110,7501553431103,CAPACILLO STD AZUL PASTEL 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2713,7501553427137,CAPACILLO STD POLKA DOT NARANJA 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2275,7501553422750,CAPACILLO STD DORADO METÁLICO 50pz,Capacillos,Papel,SI,Pieza,,, $64.00 ,,,,,,52151907
4-2722,7501553427229,CAPACILLO MED DORADO 50pz,Capacillos,Papel,SI,Pieza,,, $62.00 ,,,,,,52151907
HGCAP0043,HGCAP0043,CAPACILLO JUMBO 90pz,Capacillos,Papel,SI,Pieza,,, $60.00 ,,,,,,52151907
HGCAP0042,HGCAP0042,CAPACILLO STD PLATEADO 80pz,Capacillos,Papel,SI,Pieza,,, $70.00 ,,,,,,52151900
HGCAP0052,HGCAP0052,CAPACILLO STD DORADO 80pz,Capacillos,Papel,SI,Pieza,,, $70.00 ,,,,,,52151900
4-0902,7501553409027,CAPACILLO MED ROJO 500pz,Capacillos,Papel,SI,Paquete,,, $60.00 ,,,,,,52151907
13602,13602,CAPACILLO CORRUFACIL ROJO NUM 4 PTE 400pz,Capacillos,Papel,SI,Pieza,,, $55.00 ,,,,,,50181709
4-3113,7501553431134,CAPACILLO STD CORAZON BCO/ROJO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
